WKT,fid,DN
"POLYGON ((3392680.58808946 -113512.710364053,3392680.58808946 -113777.30875651,3392945.18648192 -113777.30875651,3392945.18648192 -113512.710364053,3392680.58808946 -113512.710364053))","14","1"
"POLYGON ((3394532.77683666 -113512.710364053,3394532.77683666 -113777.30875651,3394797.37522912 -113777.30875651,3394797.37522912 -113512.710364053,3394532.77683666 -113512.710364053))","15","1"
"POLYGON ((3373100.30704765 -113777.30875651,3373100.30704765 -114041.907148967,3373364.9054401 -114041.907148967,3373364.9054401 -113777.30875651,3373100.30704765 -113777.30875651))","16","1"
"POLYGON ((3392415.98969701 -113777.30875651,3392415.98969701 -114041.907148967,3392680.58808946 -114041.907148967,3392680.58808946 -113777.30875651,3392415.98969701 -113777.30875651))","17","1"
"POLYGON ((3372835.70865519 -114041.907148967,3372835.70865519 -114306.505541424,3373100.30704765 -114306.505541424,3373100.30704765 -114041.907148967,3372835.70865519 -114041.907148967))","18","1"
"POLYGON ((3376010.88936467 -114041.907148967,3376010.88936467 -114306.505541424,3376275.48775713 -114306.505541424,3376275.48775713 -114041.907148967,3376010.88936467 -114041.907148967))","19","1"
"POLYGON ((3377863.07811187 -113777.30875651,3378127.67650433 -113777.30875651,3378127.67650433 -114306.505541424,3378392.27489679 -114306.505541424,3378392.27489679 -114571.103933881,3378127.67650433 -114571.103933881,3378127.67650433 -114835.702326338,3377863.07811187 -114835.702326338,3377863.07811187 -114306.505541424,3377598.47971941 -114306.505541424,3377598.47971941 -114041.907148967,3377863.07811187 -114041.907148967,3377863.07811187 -113777.30875651))","20","1"
"POLYGON ((3379450.66846661 -114041.907148967,3379450.66846661 -114306.505541424,3379715.26685907 -114306.505541424,3379715.26685907 -114041.907148967,3379450.66846661 -114041.907148967))","21","1"
"POLYGON ((3388447.01381015 -114041.907148967,3388447.01381015 -114306.505541424,3388711.61220261 -114306.505541424,3388711.61220261 -114041.907148967,3388447.01381015 -114041.907148967))","22","1"
"POLYGON ((3394003.58005175 -114041.907148967,3394003.58005175 -114306.505541424,3394268.17844421 -114306.505541424,3394268.17844421 -114041.907148967,3394003.58005175 -114041.907148967))","23","1"
"POLYGON ((3387917.81702524 -114041.907148967,3388182.41541769 -114041.907148967,3388182.41541769 -114835.702326338,3387917.81702524 -114835.702326338,3387917.81702524 -114571.103933881,3387653.21863278 -114571.103933881,3387653.21863278 -114306.505541424,3387917.81702524 -114306.505541424,3387917.81702524 -114041.907148967))","24","1"
"POLYGON ((3378127.67650433 -114835.702326338,3378127.67650433 -115100.300718795,3378392.27489679 -115100.300718795,3378392.27489679 -114835.702326338,3378127.67650433 -114835.702326338))","25","1"
"POLYGON ((3378656.87328924 -114835.702326338,3378921.4716817 -114835.702326338,3378921.4716817 -115629.497503709,3378656.87328924 -115629.497503709,3378656.87328924 -115364.899111252,3378392.27489679 -115364.899111252,3378392.27489679 -115100.300718795,3378656.87328924 -115100.300718795,3378656.87328924 -114835.702326338))","26","1"
"POLYGON ((3379979.86525153 -115100.300718795,3379979.86525153 -115364.899111252,3380244.46364398 -115364.899111252,3380244.46364398 -115100.300718795,3379979.86525153 -115100.300718795))","27","1"
"POLYGON ((3396120.36719141 -112454.316794225,3396649.56397632 -112454.316794225,3396649.56397632 -112718.915186682,3396914.16236878 -112718.915186682,3396914.16236878 -113248.111971596,3397443.35915369 -113248.111971596,3397443.35915369 -114835.702326338,3397707.95754615 -114835.702326338,3397707.95754615 -115100.300718795,3397443.35915369 -115100.300718795,3397443.35915369 -115629.497503709,3397178.76076123 -115629.497503709,3397178.76076123 -115364.899111252,3396914.16236878 -115364.899111252,3396914.16236878 -115100.300718795,3397178.76076123 -115100.300718795,3397178.76076123 -114041.907148967,3396649.56397632 -114041.907148967,3396649.56397632 -113512.710364053,3396120.36719141 -113512.710364053,3396120.36719141 -113248.111971596,3396384.96558386 -113248.111971596,3396384.96558386 -112983.513579139,3396120.36719141 -112983.513579139,3396120.36719141 -112454.316794225))","28","1"
"POLYGON ((3379450.66846661 -115894.095896166,3379450.66846661 -116423.29268108,3379979.86525153 -116423.29268108,3379979.86525153 -116158.694288623,3379715.26685907 -116158.694288623,3379715.26685907 -115894.095896166,3379450.66846661 -115894.095896166))","29","1"
"POLYGON ((3380509.06203644 -115894.095896166,3380509.06203644 -116158.694288623,3380773.6604289 -116158.694288623,3380773.6604289 -115894.095896166,3380509.06203644 -115894.095896166))","30","1"
"POLYGON ((3380773.6604289 -116158.694288623,3380773.6604289 -116423.29268108,3381038.25882136 -116423.29268108,3381038.25882136 -116158.694288623,3380773.6604289 -116158.694288623))","31","1"
"POLYGON ((3381038.25882136 -116423.29268108,3381038.25882136 -116687.891073537,3381302.85721381 -116687.891073537,3381302.85721381 -116423.29268108,3381038.25882136 -116423.29268108))","32","1"
"POLYGON ((3397443.35915369 -115629.497503709,3397707.95754615 -115629.497503709,3397707.95754615 -115894.095896166,3397972.5559386 -115894.095896166,3397972.5559386 -115629.497503709,3398501.75272352 -115629.497503709,3398501.75272352 -115894.095896166,3398237.15433106 -115894.095896166,3398237.15433106 -116158.694288623,3398501.75272352 -116158.694288623,3398501.75272352 -116687.891073537,3397707.95754615 -116687.891073537,3397707.95754615 -116423.29268108,3397972.5559386 -116423.29268108,3397972.5559386 -116158.694288623,3397178.76076123 -116158.694288623,3397178.76076123 -115894.095896166,3397443.35915369 -115894.095896166,3397443.35915369 -115629.497503709))","33","1"
"POLYGON ((3397972.5559386 -116952.489465994,3397972.5559386 -117746.284643365,3398501.75272352 -117746.284643365,3398501.75272352 -117217.087858451,3398237.15433106 -117217.087858451,3398237.15433106 -116952.489465994,3397972.5559386 -116952.489465994))","34","1"
"POLYGON ((3376010.88936467 -116423.29268108,3376804.68454204 -116423.29268108,3376804.68454204 -116687.891073537,3376540.08614959 -116687.891073537,3376540.08614959 -116952.489465994,3377069.2829345 -116952.489465994,3377069.2829345 -116687.891073537,3378656.87328924 -116687.891073537,3378656.87328924 -116952.489465994,3378127.67650433 -116952.489465994,3378127.67650433 -117217.087858451,3377863.07811187 -117217.087858451,3377863.07811187 -116952.489465994,3377333.88132696 -116952.489465994,3377333.88132696 -117217.087858451,3377069.2829345 -117217.087858451,3377069.2829345 -117481.686250908,3376540.08614959 -117481.686250908,3376540.08614959 -117746.284643365,3376275.48775713 -117746.284643365,3376275.48775713 -117481.686250908,3375481.69257976 -117481.686250908,3375481.69257976 -117217.087858451,3375746.29097222 -117217.087858451,3375746.29097222 -116687.891073537,3376010.88936467 -116687.891073537,3376010.88936467 -116423.29268108))","35","1"
"POLYGON ((3379715.26685907 -116952.489465994,3380244.46364398 -116952.489465994,3380244.46364398 -117481.686250908,3379979.86525153 -117481.686250908,3379979.86525153 -117746.284643365,3379715.26685907 -117746.284643365,3379715.26685907 -117481.686250908,3379450.66846661 -117481.686250908,3379450.66846661 -117217.087858451,3379715.26685907 -117217.087858451,3379715.26685907 -116952.489465994))","36","1"
"POLYGON ((3377598.47971941 -117481.686250908,3377598.47971941 -117746.284643365,3378127.67650433 -117746.284643365,3378127.67650433 -118010.883035822,3378921.4716817 -118010.883035822,3378921.4716817 -117746.284643365,3378656.87328924 -117746.284643365,3378656.87328924 -117481.686250908,3377598.47971941 -117481.686250908))","37","1"
"POLYGON ((3372571.11026273 -117746.284643365,3372571.11026273 -118010.883035822,3373100.30704765 -118010.883035822,3373100.30704765 -118275.481428279,3373364.9054401 -118275.481428279,3373364.9054401 -117746.284643365,3372571.11026273 -117746.284643365))","38","1"
"POLYGON ((3379450.66846661 -117746.284643365,3379450.66846661 -118010.883035822,3379715.26685907 -118010.883035822,3379715.26685907 -117746.284643365,3379450.66846661 -117746.284643365))","39","1"
"POLYGON ((3373629.50383256 -118010.883035822,3373629.50383256 -118275.481428279,3373894.10222502 -118275.481428279,3373894.10222502 -118010.883035822,3373629.50383256 -118010.883035822))","40","1"
"POLYGON ((3397707.95754615 -118010.883035822,3397707.95754615 -118275.481428279,3397972.5559386 -118275.481428279,3397972.5559386 -118010.883035822,3397707.95754615 -118010.883035822))","41","1"
"POLYGON ((3373364.9054401 -118275.481428279,3373364.9054401 -118540.079820736,3373629.50383256 -118540.079820736,3373629.50383256 -118275.481428279,3373364.9054401 -118275.481428279))","42","1"
"POLYGON ((3374158.70061747 -118275.481428279,3374158.70061747 -118540.079820736,3374423.29900993 -118540.079820736,3374423.29900993 -118275.481428279,3374158.70061747 -118275.481428279))","43","1"
"POLYGON ((3375746.29097222 -118275.481428279,3375746.29097222 -118540.079820736,3376010.88936467 -118540.079820736,3376010.88936467 -118275.481428279,3375746.29097222 -118275.481428279))","44","1"
"POLYGON ((3372571.11026273 -118540.079820736,3372571.11026273 -119333.874998107,3373629.50383256 -119333.874998107,3373629.50383256 -119069.27660565,3373364.9054401 -119069.27660565,3373364.9054401 -118540.079820736,3372571.11026273 -118540.079820736))","45","1"
"POLYGON ((3375481.69257976 -118804.678213193,3375481.69257976 -119069.27660565,3375746.29097222 -119069.27660565,3375746.29097222 -118804.678213193,3375481.69257976 -118804.678213193))","46","1"
"POLYGON ((3378921.4716817 -118804.678213193,3378921.4716817 -119069.27660565,3379186.07007416 -119069.27660565,3379186.07007416 -118804.678213193,3378921.4716817 -118804.678213193))","47","1"
"POLYGON ((3397443.35915369 -118804.678213193,3397443.35915369 -119069.27660565,3397972.5559386 -119069.27660565,3397972.5559386 -118804.678213193,3397443.35915369 -118804.678213193))","48","1"
"POLYGON ((3373629.50383256 -119333.874998107,3373629.50383256 -119863.071783021,3373894.10222502 -119863.071783021,3373894.10222502 -119598.473390564,3374158.70061747 -119598.473390564,3374158.70061747 -119333.874998107,3373629.50383256 -119333.874998107))","49","1"
"POLYGON ((3385801.02988558 -119333.874998107,3385801.02988558 -119598.473390564,3386065.62827804 -119598.473390564,3386065.62827804 -119333.874998107,3385801.02988558 -119333.874998107))","50","1"
"POLYGON ((3395591.17040649 -119598.473390564,3395591.17040649 -119863.071783021,3396120.36719141 -119863.071783021,3396120.36719141 -119598.473390564,3395591.17040649 -119598.473390564))","51","1"
"POLYGON ((3404322.91735757 -119598.473390564,3404322.91735757 -119863.071783021,3404587.51575003 -119863.071783021,3404587.51575003 -119598.473390564,3404322.91735757 -119598.473390564))","52","1"
"POLYGON ((3404852.11414249 -119598.473390564,3404852.11414249 -119863.071783021,3405116.71253494 -119863.071783021,3405116.71253494 -120127.670175478,3405645.90931986 -120127.670175478,3405645.90931986 -119598.473390564,3404852.11414249 -119598.473390564))","53","1"
"POLYGON ((3407762.69645951 -119598.473390564,3407762.69645951 -120127.670175478,3408027.29485197 -120127.670175478,3408027.29485197 -119598.473390564,3407762.69645951 -119598.473390564))","54","1"
"POLYGON ((3376540.08614959 -120656.866960392,3376540.08614959 -120921.465352849,3376804.68454204 -120921.465352849,3376804.68454204 -120656.866960392,3376540.08614959 -120656.866960392))","55","1"
"POLYGON ((3394532.77683666 -120656.866960392,3394532.77683666 -120921.465352849,3394797.37522912 -120921.465352849,3394797.37522912 -120656.866960392,3394532.77683666 -120656.866960392))","56","1"
"POLYGON ((3405116.71253494 -120656.866960392,3405116.71253494 -120921.465352849,3405381.3109274 -120921.465352849,3405381.3109274 -120656.866960392,3405116.71253494 -120656.866960392))","57","1"
