WKT,fid,DN
"POLYGON ((3301394.1426918 -193156.82649361,3301658.74108426 -193156.82649361,3301658.74108426 -193421.424886067,3301923.33947671 -193421.424886067,3301923.33947671 -194744.416848352,3301658.74108426 -194744.416848352,3301658.74108426 -195538.212025723,3301923.33947671 -195538.212025723,3301923.33947671 -195802.81041818,3301658.74108426 -195802.81041818,3301658.74108426 -196332.007203094,3301394.1426918 -196332.007203094,3301394.1426918 -195538.212025723,3301129.54429934 -195538.212025723,3301129.54429934 -195273.613633266,3301394.1426918 -195273.613633266,3301394.1426918 -193950.621670981,3301658.74108426 -193950.621670981,3301658.74108426 -193686.023278524,3301394.1426918 -193686.023278524,3301394.1426918 -193156.82649361))","797","1"
"POLYGON ((3269906.93398942 -196067.408810637,3269906.93398942 -196596.605595551,3270171.53238187 -196596.605595551,3270171.53238187 -196332.007203094,3270436.13077433 -196332.007203094,3270436.13077433 -196596.605595551,3270700.72916679 -196596.605595551,3270700.72916679 -196861.203988008,3270965.32755924 -196861.203988008,3270965.32755924 -198184.195950293,3271229.9259517 -198184.195950293,3271229.9259517 -197919.597557836,3271494.52434416 -197919.597557836,3271494.52434416 -198184.195950293,3271759.12273662 -198184.195950293,3271759.12273662 -197654.999165379,3271494.52434416 -197654.999165379,3271494.52434416 -197125.802380465,3271229.9259517 -197125.802380465,3271229.9259517 -196596.605595551,3270965.32755924 -196596.605595551,3270965.32755924 -196067.408810637,3269906.93398942 -196067.408810637))","798","1"
"POLYGON ((3286576.63271421 -196067.408810637,3286576.63271421 -196332.007203094,3286841.23110666 -196332.007203094,3286841.23110666 -196067.408810637,3286576.63271421 -196067.408810637))","799","1"
"POLYGON ((3326795.58836767 -196067.408810637,3326795.58836767 -196332.007203094,3327060.18676013 -196332.007203094,3327060.18676013 -196067.408810637,3326795.58836767 -196067.408810637))","800","1"
"POLYGON ((3268848.54041959 -196332.007203094,3268848.54041959 -196596.605595551,3269377.7372045 -196596.605595551,3269377.7372045 -196332.007203094,3268848.54041959 -196332.007203094))","801","1"
"POLYGON ((3271229.9259517 -196332.007203094,3271229.9259517 -196596.605595551,3271494.52434416 -196596.605595551,3271494.52434416 -196332.007203094,3271229.9259517 -196332.007203094))","802","1"
"POLYGON ((3291074.80538598 -196332.007203094,3291074.80538598 -196596.605595551,3291339.40377843 -196596.605595551,3291339.40377843 -196332.007203094,3291074.80538598 -196332.007203094))","803","1"
"POLYGON ((3292397.79734826 -196332.007203094,3292397.79734826 -196861.203988008,3292662.39574072 -196861.203988008,3292662.39574072 -197125.802380465,3292926.99413317 -197125.802380465,3292926.99413317 -196861.203988008,3293191.59252563 -196861.203988008,3293191.59252563 -196332.007203094,3292926.99413317 -196332.007203094,3292926.99413317 -196596.605595551,3292662.39574072 -196596.605595551,3292662.39574072 -196332.007203094,3292397.79734826 -196332.007203094))","804","1"
"POLYGON ((3327853.9819375 -196332.007203094,3327853.9819375 -196596.605595551,3328118.58032996 -196596.605595551,3328118.58032996 -196332.007203094,3327853.9819375 -196332.007203094))","805","1"
"POLYGON ((3339760.90959806 -196332.007203094,3339760.90959806 -196596.605595551,3340025.50799052 -196596.605595551,3340025.50799052 -196332.007203094,3339760.90959806 -196332.007203094))","806","1"
"POLYGON ((3410937.877169 -192627.629708696,3411202.47556145 -192627.629708696,3411202.47556145 -192892.228101153,3411467.07395391 -192892.228101153,3411467.07395391 -193950.621670981,3411731.67234637 -193950.621670981,3411731.67234637 -195009.015240809,3411467.07395391 -195009.015240809,3411467.07395391 -195273.613633266,3411731.67234637 -195273.613633266,3411731.67234637 -196067.408810637,3411467.07395391 -196067.408810637,3411467.07395391 -196596.605595551,3411202.47556145 -196596.605595551,3411202.47556145 -197125.802380465,3410937.877169 -197125.802380465,3410937.877169 -197390.400772922,3410673.27877654 -197390.400772922,3410673.27877654 -197125.802380465,3410408.68038408 -197125.802380465,3410408.68038408 -196332.007203094,3410673.27877654 -196332.007203094,3410673.27877654 -195538.212025723,3410937.877169 -195538.212025723,3410937.877169 -195802.81041818,3411467.07395391 -195802.81041818,3411467.07395391 -195538.212025723,3411202.47556145 -195538.212025723,3411202.47556145 -195009.015240809,3410937.877169 -195009.015240809,3410937.877169 -194744.416848352,3410673.27877654 -194744.416848352,3410673.27877654 -194479.818455895,3411202.47556145 -194479.818455895,3411202.47556145 -193950.621670981,3410937.877169 -193950.621670981,3410937.877169 -193686.023278524,3410673.27877654 -193686.023278524,3410673.27877654 -193156.82649361,3410937.877169 -193156.82649361,3410937.877169 -192627.629708696),(3410673.27877654 -196332.007203094,3410673.27877654 -196596.605595551,3410937.877169 -196596.605595551,3410937.877169 -196332.007203094,3410673.27877654 -196332.007203094))","807","1"
"POLYGON ((3268583.94202713 -196596.605595551,3268583.94202713 -196861.203988008,3268848.54041959 -196861.203988008,3268848.54041959 -196596.605595551,3268583.94202713 -196596.605595551))","808","1"
"POLYGON ((3271494.52434416 -196596.605595551,3271494.52434416 -196861.203988008,3271759.12273662 -196861.203988008,3271759.12273662 -196596.605595551,3271494.52434416 -196596.605595551))","809","1"
"POLYGON ((3301394.1426918 -196596.605595551,3301394.1426918 -196861.203988008,3301923.33947671 -196861.203988008,3301923.33947671 -196596.605595551,3301394.1426918 -196596.605595551))","810","1"
"POLYGON ((3318593.0382015 -196067.408810637,3318857.63659396 -196067.408810637,3318857.63659396 -196332.007203094,3319122.23498642 -196332.007203094,3319122.23498642 -196596.605595551,3318857.63659396 -196596.605595551,3318857.63659396 -196861.203988008,3318328.43980905 -196861.203988008,3318328.43980905 -196596.605595551,3318063.84141659 -196596.605595551,3318063.84141659 -196861.203988008,3317534.64463168 -196861.203988008,3317534.64463168 -196596.605595551,3317799.24302413 -196596.605595551,3317799.24302413 -196332.007203094,3318593.0382015 -196332.007203094,3318593.0382015 -196067.408810637))","811","1"
"POLYGON ((3268319.34363467 -196861.203988008,3268319.34363467 -197125.802380465,3268583.94202713 -197125.802380465,3268583.94202713 -196861.203988008,3268319.34363467 -196861.203988008))","812","1"
"POLYGON ((3301129.54429934 -196861.203988008,3301129.54429934 -197125.802380465,3301394.1426918 -197125.802380465,3301394.1426918 -196861.203988008,3301129.54429934 -196861.203988008))","813","1"
"POLYGON ((3326530.98997521 -196861.203988008,3326530.98997521 -197125.802380465,3326795.58836767 -197125.802380465,3326795.58836767 -197390.400772922,3327060.18676013 -197390.400772922,3327060.18676013 -196861.203988008,3326530.98997521 -196861.203988008))","814","1"
"POLYGON ((3341348.49995281 -196861.203988008,3341348.49995281 -197125.802380465,3341613.09834526 -197125.802380465,3341613.09834526 -196861.203988008,3341348.49995281 -196861.203988008))","815","1"
"POLYGON ((3414642.25466339 -195802.81041818,3414906.85305585 -195802.81041818,3414906.85305585 -196067.408810637,3415171.45144831 -196067.408810637,3415171.45144831 -196332.007203094,3415436.04984077 -196332.007203094,3415436.04984077 -197125.802380465,3415171.45144831 -197125.802380465,3415171.45144831 -197390.400772922,3414642.25466339 -197390.400772922,3414642.25466339 -197125.802380465,3414377.65627094 -197125.802380465,3414377.65627094 -196861.203988008,3414642.25466339 -196861.203988008,3414642.25466339 -195802.81041818),(3414906.85305585 -196332.007203094,3414906.85305585 -196596.605595551,3415171.45144831 -196596.605595551,3415171.45144831 -196332.007203094,3414906.85305585 -196332.007203094))","816","1"
"POLYGON ((3257735.40793639 -197125.802380465,3257735.40793639 -197654.999165379,3258000.00632885 -197654.999165379,3258000.00632885 -197125.802380465,3257735.40793639 -197125.802380465))","817","1"
"POLYGON ((3325472.59640539 -197125.802380465,3325472.59640539 -197390.400772922,3325737.19479784 -197390.400772922,3325737.19479784 -197125.802380465,3325472.59640539 -197125.802380465))","818","1"
"POLYGON ((3340554.70477543 -197125.802380465,3340554.70477543 -197654.999165379,3340819.30316789 -197654.999165379,3340819.30316789 -197390.400772922,3341348.49995281 -197390.400772922,3341348.49995281 -197125.802380465,3340554.70477543 -197125.802380465))","819","1"
"POLYGON ((3363839.36331165 -197125.802380465,3363839.36331165 -197390.400772922,3364103.96170411 -197390.400772922,3364103.96170411 -197125.802380465,3363839.36331165 -197125.802380465))","820","1"
"POLYGON ((3364368.56009656 -197125.802380465,3364368.56009656 -197390.400772922,3364633.15848902 -197390.400772922,3364633.15848902 -197125.802380465,3364368.56009656 -197125.802380465))","821","1"
"POLYGON ((3303246.331439 -197390.400772922,3303246.331439 -197654.999165379,3303510.92983145 -197654.999165379,3303510.92983145 -197390.400772922,3303246.331439 -197390.400772922))","822","1"
"POLYGON ((3326530.98997521 -197390.400772922,3326530.98997521 -197654.999165379,3326795.58836767 -197654.999165379,3326795.58836767 -197390.400772922,3326530.98997521 -197390.400772922))","823","1"
"POLYGON ((3364103.96170411 -197390.400772922,3364103.96170411 -197654.999165379,3364368.56009656 -197654.999165379,3364368.56009656 -197390.400772922,3364103.96170411 -197390.400772922))","824","1"
"POLYGON ((3410144.08199163 -197390.400772922,3410144.08199163 -197654.999165379,3410408.68038408 -197654.999165379,3410408.68038408 -197919.597557836,3410673.27877654 -197919.597557836,3410673.27877654 -197390.400772922,3410144.08199163 -197390.400772922))","825","1"
"POLYGON ((3321239.02212607 -197654.999165379,3321239.02212607 -197919.597557836,3321503.62051853 -197919.597557836,3321503.62051853 -197654.999165379,3321239.02212607 -197654.999165379))","826","1"
"POLYGON ((3364633.15848902 -197390.400772922,3365162.35527394 -197390.400772922,3365162.35527394 -197654.999165379,3364897.75688148 -197654.999165379,3364897.75688148 -197919.597557836,3364368.56009656 -197919.597557836,3364368.56009656 -197654.999165379,3364633.15848902 -197654.999165379,3364633.15848902 -197390.400772922))","827","1"
"POLYGON ((3414642.25466339 -197654.999165379,3414642.25466339 -197919.597557836,3414906.85305585 -197919.597557836,3414906.85305585 -197654.999165379,3414642.25466339 -197654.999165379))","828","1"
"POLYGON ((3301129.54429934 -197919.597557836,3301129.54429934 -198184.195950293,3301394.1426918 -198184.195950293,3301394.1426918 -197919.597557836,3301129.54429934 -197919.597557836))","829","1"
"POLYGON ((3410144.08199163 -197919.597557836,3410144.08199163 -198184.195950293,3410408.68038408 -198184.195950293,3410408.68038408 -197919.597557836,3410144.08199163 -197919.597557836))","830","1"
"POLYGON ((3257206.21115148 -197654.999165379,3257206.21115148 -199507.187912578,3257470.80954394 -199507.187912578,3257470.80954394 -199242.589520121,3257735.40793639 -199242.589520121,3257735.40793639 -198977.991127664,3257470.80954394 -198977.991127664,3257470.80954394 -198713.392735207,3257735.40793639 -198713.392735207,3257735.40793639 -198448.79434275,3257470.80954394 -198448.79434275,3257470.80954394 -197654.999165379,3257206.21115148 -197654.999165379))","831","1"
"POLYGON ((3302187.93786917 -196067.408810637,3302452.53626163 -196067.408810637,3302452.53626163 -198713.392735207,3301658.74108426 -198713.392735207,3301658.74108426 -197654.999165379,3301394.1426918 -197654.999165379,3301394.1426918 -197125.802380465,3302187.93786917 -197125.802380465,3302187.93786917 -196067.408810637),(3301658.74108426 -197390.400772922,3301658.74108426 -197654.999165379,3301923.33947671 -197654.999165379,3301923.33947671 -197390.400772922,3301658.74108426 -197390.400772922),(3301923.33947671 -197654.999165379,3301923.33947671 -197919.597557836,3302187.93786917 -197919.597557836,3302187.93786917 -197654.999165379,3301923.33947671 -197654.999165379))","832","1"
"POLYGON ((3261704.38382325 -197919.597557836,3261704.38382325 -198448.79434275,3262233.58060816 -198448.79434275,3262233.58060816 -198184.195950293,3261968.98221571 -198184.195950293,3261968.98221571 -197919.597557836,3261704.38382325 -197919.597557836))","833","1"
"POLYGON ((3267790.14684976 -197919.597557836,3267790.14684976 -198713.392735207,3268319.34363467 -198713.392735207,3268319.34363467 -199242.589520121,3268583.94202713 -199242.589520121,3268583.94202713 -197919.597557836,3268319.34363467 -197919.597557836,3268319.34363467 -198184.195950293,3268054.74524222 -198184.195950293,3268054.74524222 -197919.597557836,3267790.14684976 -197919.597557836))","834","1"
"POLYGON ((3409614.88520671 -197919.597557836,3409614.88520671 -198448.79434275,3410144.08199163 -198448.79434275,3410144.08199163 -198184.195950293,3409879.48359917 -198184.195950293,3409879.48359917 -197919.597557836,3409614.88520671 -197919.597557836))","835","1"
"POLYGON ((3268848.54041959 -192892.228101153,3269113.13881205 -192892.228101153,3269113.13881205 -193156.82649361,3269642.33559696 -193156.82649361,3269642.33559696 -193686.023278524,3268848.54041959 -193686.023278524,3268848.54041959 -194215.220063438,3268583.94202713 -194215.220063438,3268583.94202713 -194479.818455895,3268319.34363467 -194479.818455895,3268319.34363467 -194744.416848352,3268054.74524222 -194744.416848352,3268054.74524222 -195273.613633266,3268319.34363467 -195273.613633266,3268319.34363467 -195009.015240809,3268583.94202713 -195009.015240809,3268583.94202713 -195538.212025723,3268319.34363467 -195538.212025723,3268319.34363467 -195802.81041818,3267525.5484573 -195802.81041818,3267525.5484573 -196861.203988008,3268054.74524222 -196861.203988008,3268054.74524222 -197125.802380465,3267790.14684976 -197125.802380465,3267790.14684976 -197390.400772922,3267260.95006485 -197390.400772922,3267260.95006485 -198448.79434275,3266996.35167239 -198448.79434275,3266996.35167239 -198713.392735207,3266731.75327993 -198713.392735207,3266731.75327993 -198448.79434275,3266467.15488748 -198448.79434275,3266467.15488748 -198184.195950293,3266731.75327993 -198184.195950293,3266731.75327993 -197919.597557836,3266467.15488748 -197919.597557836,3266467.15488748 -195802.81041818,3266731.75327993 -195802.81041818,3266731.75327993 -196067.408810637,3266996.35167239 -196067.408810637,3266996.35167239 -194744.416848352,3266731.75327993 -194744.416848352,3266731.75327993 -194479.818455895,3266996.35167239 -194479.818455895,3266996.35167239 -194215.220063438,3267260.95006485 -194215.220063438,3267260.95006485 -193950.621670981,3267525.5484573 -193950.621670981,3267525.5484573 -193421.424886067,3267790.14684976 -193421.424886067,3267790.14684976 -193156.82649361,3268054.74524222 -193156.82649361,3268054.74524222 -193686.023278524,3268319.34363467 -193686.023278524,3268319.34363467 -193950.621670981,3268583.94202713 -193950.621670981,3268583.94202713 -193156.82649361,3268848.54041959 -193156.82649361,3268848.54041959 -192892.228101153),(3266731.75327993 -196596.605595551,3266731.75327993 -196861.203988008,3266996.35167239 -196861.203988008,3266996.35167239 -196596.605595551,3266731.75327993 -196596.605595551))","836","1"
"POLYGON ((3302717.13465408 -198184.195950293,3302717.13465408 -198448.79434275,3302981.73304654 -198448.79434275,3302981.73304654 -198184.195950293,3302717.13465408 -198184.195950293))","837","1"
"POLYGON ((3319122.23498642 -198184.195950293,3319122.23498642 -198448.79434275,3319386.83337887 -198448.79434275,3319386.83337887 -198184.195950293,3319122.23498642 -198184.195950293))","838","1"
"POLYGON ((3263556.57257045 -197919.597557836,3264085.76935536 -197919.597557836,3264085.76935536 -198448.79434275,3264350.36774782 -198448.79434275,3264350.36774782 -198713.392735207,3264085.76935536 -198713.392735207,3264085.76935536 -199242.589520121,3263821.17096291 -199242.589520121,3263821.17096291 -198977.991127664,3263027.37578553 -198977.991127664,3263027.37578553 -198713.392735207,3262762.77739308 -198713.392735207,3262762.77739308 -198448.79434275,3263027.37578553 -198448.79434275,3263027.37578553 -198184.195950293,3263556.57257045 -198184.195950293,3263556.57257045 -197919.597557836))","839","1"
"POLYGON ((3258000.00632885 -198713.392735207,3258000.00632885 -199507.187912578,3258264.60472131 -199507.187912578,3258264.60472131 -198713.392735207,3258000.00632885 -198713.392735207))","840","1"
"POLYGON ((3259587.59668359 -198713.392735207,3259587.59668359 -198977.991127664,3259852.19507605 -198977.991127664,3259852.19507605 -198713.392735207,3259587.59668359 -198713.392735207))","841","1"
"POLYGON ((3260910.58864588 -198713.392735207,3260910.58864588 -198977.991127664,3261175.18703834 -198977.991127664,3261175.18703834 -198713.392735207,3260910.58864588 -198713.392735207))","842","1"
"POLYGON ((3266996.35167239 -198713.392735207,3266996.35167239 -198977.991127664,3267260.95006485 -198977.991127664,3267260.95006485 -198713.392735207,3266996.35167239 -198713.392735207))","843","1"
"POLYGON ((3293456.19091809 -198448.79434275,3293720.78931055 -198448.79434275,3293720.78931055 -198713.392735207,3294249.98609546 -198713.392735207,3294249.98609546 -198977.991127664,3293985.387703 -198977.991127664,3293985.387703 -199507.187912578,3293720.78931055 -199507.187912578,3293720.78931055 -199771.786305035,3293985.387703 -199771.786305035,3293985.387703 -200036.384697492,3293456.19091809 -200036.384697492,3293456.19091809 -199771.786305035,3293191.59252563 -199771.786305035,3293191.59252563 -198713.392735207,3293456.19091809 -198713.392735207,3293456.19091809 -198448.79434275))","844","1"
"POLYGON ((3302452.53626163 -198713.392735207,3302452.53626163 -198977.991127664,3302717.13465408 -198977.991127664,3302717.13465408 -198713.392735207,3302452.53626163 -198713.392735207))","845","1"
"POLYGON ((3302981.73304654 -198713.392735207,3302981.73304654 -198977.991127664,3303246.331439 -198977.991127664,3303246.331439 -198713.392735207,3302981.73304654 -198713.392735207))","846","1"
"POLYGON ((3261175.18703834 -198977.991127664,3261175.18703834 -199507.187912578,3261439.78543079 -199507.187912578,3261439.78543079 -198977.991127664,3261175.18703834 -198977.991127664))","847","1"
"POLYGON ((3261704.38382325 -198977.991127664,3261704.38382325 -199242.589520121,3261968.98221571 -199242.589520121,3261968.98221571 -198977.991127664,3261704.38382325 -198977.991127664))","848","1"
"POLYGON ((3302187.93786917 -198977.991127664,3302187.93786917 -199242.589520121,3302452.53626163 -199242.589520121,3302452.53626163 -198977.991127664,3302187.93786917 -198977.991127664))","849","1"
"POLYGON ((3302717.13465408 -198977.991127664,3302717.13465408 -199242.589520121,3302981.73304654 -199242.589520121,3302981.73304654 -198977.991127664,3302717.13465408 -198977.991127664))","850","1"
"POLYGON ((3324149.6044431 -198977.991127664,3324149.6044431 -199242.589520121,3324414.20283556 -199242.589520121,3324414.20283556 -198977.991127664,3324149.6044431 -198977.991127664))","851","1"
"POLYGON ((3343200.6887 -198977.991127664,3343200.6887 -199242.589520121,3343465.28709246 -199242.589520121,3343465.28709246 -198977.991127664,3343200.6887 -198977.991127664))","852","1"
"POLYGON ((3261968.98221571 -199242.589520121,3261968.98221571 -199507.187912578,3262498.17900062 -199507.187912578,3262498.17900062 -199242.589520121,3261968.98221571 -199242.589520121))","853","1"
"POLYGON ((3259852.19507605 -199507.187912578,3259852.19507605 -199771.786305035,3260116.79346851 -199771.786305035,3260116.79346851 -199507.187912578,3259852.19507605 -199507.187912578))","854","1"
"POLYGON ((3267525.5484573 -199507.187912578,3267525.5484573 -199771.786305035,3267790.14684976 -199771.786305035,3267790.14684976 -199507.187912578,3267525.5484573 -199507.187912578))","855","1"
"POLYGON ((3262233.58060816 -199771.786305035,3262233.58060816 -200036.384697492,3263291.97417799 -200036.384697492,3263291.97417799 -199771.786305035,3262233.58060816 -199771.786305035))","856","1"
"POLYGON ((3268583.94202713 -200036.384697492,3268583.94202713 -200300.983089949,3269113.13881205 -200300.983089949,3269113.13881205 -200036.384697492,3268583.94202713 -200036.384697492))","857","1"
"POLYGON ((3319386.83337887 -200036.384697492,3319386.83337887 -200300.983089949,3319651.43177133 -200300.983089949,3319651.43177133 -200036.384697492,3319386.83337887 -200036.384697492))","858","1"
"POLYGON ((3338173.31924332 -200036.384697492,3338173.31924332 -200300.983089949,3338437.91763578 -200300.983089949,3338437.91763578 -200036.384697492,3338173.31924332 -200036.384697492))","859","1"
"POLYGON ((3268054.74524222 -200036.384697492,3268054.74524222 -200830.179874863,3268319.34363467 -200830.179874863,3268319.34363467 -200036.384697492,3268054.74524222 -200036.384697492))","860","1"
"POLYGON ((3258264.60472131 -200300.983089949,3258264.60472131 -200565.581482406,3258529.20311376 -200565.581482406,3258529.20311376 -200300.983089949,3258264.60472131 -200300.983089949))","861","1"
"POLYGON ((3302187.93786917 -200300.983089949,3302187.93786917 -200565.581482406,3302452.53626163 -200565.581482406,3302452.53626163 -200300.983089949,3302187.93786917 -200300.983089949))","862","1"
"POLYGON ((3309332.09446551 -195273.613633266,3309861.29125042 -195273.613633266,3309861.29125042 -195802.81041818,3310655.08642779 -195802.81041818,3310655.08642779 -196067.408810637,3310390.48803534 -196067.408810637,3310390.48803534 -196332.007203094,3310125.88964288 -196332.007203094,3310125.88964288 -196596.605595551,3310390.48803534 -196596.605595551,3310390.48803534 -196861.203988008,3310125.88964288 -196861.203988008,3310125.88964288 -197654.999165379,3310390.48803534 -197654.999165379,3310390.48803534 -198448.79434275,3310655.08642779 -198448.79434275,3310655.08642779 -198713.392735207,3310390.48803534 -198713.392735207,3310390.48803534 -198977.991127664,3310125.88964288 -198977.991127664,3310125.88964288 -200300.983089949,3309861.29125042 -200300.983089949,3309861.29125042 -201094.77826732,3309067.49607305 -201094.77826732,3309067.49607305 -200830.179874863,3308538.29928814 -200830.179874863,3308538.29928814 -200300.983089949,3309067.49607305 -200300.983089949,3309067.49607305 -200036.384697492,3309332.09446551 -200036.384697492,3309332.09446551 -199507.187912578,3309067.49607305 -199507.187912578,3309067.49607305 -198977.991127664,3308538.29928814 -198977.991127664,3308538.29928814 -199242.589520121,3308273.70089568 -199242.589520121,3308273.70089568 -198448.79434275,3308009.10250322 -198448.79434275,3308009.10250322 -196861.203988008,3308273.70089568 -196861.203988008,3308273.70089568 -197125.802380465,3309067.49607305 -197125.802380465,3309067.49607305 -196596.605595551,3309332.09446551 -196596.605595551,3309332.09446551 -196332.007203094,3309067.49607305 -196332.007203094,3309067.49607305 -196067.408810637,3309332.09446551 -196067.408810637,3309332.09446551 -195273.613633266))","863","1"
"POLYGON ((3347963.45976423 -200300.983089949,3347963.45976423 -200565.581482406,3348228.05815669 -200565.581482406,3348228.05815669 -200300.983089949,3347963.45976423 -200300.983089949))","864","1"
"POLYGON ((3367543.74080605 -200300.983089949,3367543.74080605 -200565.581482406,3367808.33919851 -200565.581482406,3367808.33919851 -200300.983089949,3367543.74080605 -200300.983089949))","865","1"
"POLYGON ((3405910.50771231 -200300.983089949,3405910.50771231 -200565.581482406,3406175.10610477 -200565.581482406,3406175.10610477 -200300.983089949,3405910.50771231 -200300.983089949))","866","1"
"POLYGON ((3263027.37578553 -200565.581482406,3263027.37578553 -200830.179874863,3263291.97417799 -200830.179874863,3263291.97417799 -200565.581482406,3263027.37578553 -200565.581482406))","867","1"
"POLYGON ((3291339.40377843 -199507.187912578,3292133.1989558 -199507.187912578,3292133.1989558 -200300.983089949,3291868.60056335 -200300.983089949,3291868.60056335 -200565.581482406,3292133.1989558 -200565.581482406,3292133.1989558 -200830.179874863,3291604.00217089 -200830.179874863,3291604.00217089 -201094.77826732,3291339.40377843 -201094.77826732,3291339.40377843 -200830.179874863,3291074.80538598 -200830.179874863,3291074.80538598 -200565.581482406,3291604.00217089 -200565.581482406,3291604.00217089 -200300.983089949,3291339.40377843 -200300.983089949,3291339.40377843 -199507.187912578))","868","1"
"POLYGON ((3367808.33919851 -200565.581482406,3367808.33919851 -200830.179874863,3368072.93759096 -200830.179874863,3368072.93759096 -200565.581482406,3367808.33919851 -200565.581482406))","869","1"
"POLYGON ((3268054.74524222 -201094.77826732,3268054.74524222 -201359.376659777,3268319.34363467 -201359.376659777,3268319.34363467 -201094.77826732,3268054.74524222 -201094.77826732))","870","1"
"POLYGON ((3270171.53238187 -201094.77826732,3270171.53238187 -201359.376659777,3270436.13077433 -201359.376659777,3270436.13077433 -202153.171837148,3270965.32755924 -202153.171837148,3270965.32755924 -201888.573444691,3270700.72916679 -201888.573444691,3270700.72916679 -201094.77826732,3270171.53238187 -201094.77826732))","871","1"
"POLYGON ((3271229.9259517 -201094.77826732,3271229.9259517 -201359.376659777,3271494.52434416 -201359.376659777,3271494.52434416 -201094.77826732,3271229.9259517 -201094.77826732))","872","1"
"POLYGON ((3291074.80538598 -201094.77826732,3291074.80538598 -201359.376659777,3291339.40377843 -201359.376659777,3291339.40377843 -201094.77826732,3291074.80538598 -201094.77826732))","873","1"
"POLYGON ((3292397.79734826 -200565.581482406,3293191.59252563 -200565.581482406,3293191.59252563 -200830.179874863,3292926.99413317 -200830.179874863,3292926.99413317 -201094.77826732,3293191.59252563 -201094.77826732,3293191.59252563 -201888.573444691,3292926.99413317 -201888.573444691,3292926.99413317 -201623.975052234,3292662.39574072 -201623.975052234,3292662.39574072 -201888.573444691,3292133.1989558 -201888.573444691,3292133.1989558 -202153.171837148,3291868.60056335 -202153.171837148,3291868.60056335 -201094.77826732,3292133.1989558 -201094.77826732,3292133.1989558 -201623.975052234,3292397.79734826 -201623.975052234,3292397.79734826 -200565.581482406))","874","1"
"POLYGON ((3257470.80954394 -201359.376659777,3257470.80954394 -201623.975052234,3257735.40793639 -201623.975052234,3257735.40793639 -201359.376659777,3257470.80954394 -201359.376659777))","875","1"
"POLYGON ((3263027.37578553 -201359.376659777,3263027.37578553 -201623.975052234,3263291.97417799 -201623.975052234,3263291.97417799 -201359.376659777,3263027.37578553 -201359.376659777))","876","1"
"POLYGON ((3270965.32755924 -201359.376659777,3270965.32755924 -201623.975052234,3271229.9259517 -201623.975052234,3271229.9259517 -201359.376659777,3270965.32755924 -201359.376659777))","877","1"
"POLYGON ((3276521.89380084 -201359.376659777,3276521.89380084 -201623.975052234,3277051.09058575 -201623.975052234,3277051.09058575 -201359.376659777,3276521.89380084 -201359.376659777))","878","1"
"POLYGON ((3337908.72085086 -201359.376659777,3337908.72085086 -201623.975052234,3338173.31924332 -201623.975052234,3338173.31924332 -201359.376659777,3337908.72085086 -201359.376659777))","879","1"
"POLYGON ((3405645.90931986 -201359.376659777,3405645.90931986 -201623.975052234,3405910.50771231 -201623.975052234,3405910.50771231 -201359.376659777,3405645.90931986 -201359.376659777))","880","1"
"POLYGON ((3257206.21115148 -201623.975052234,3257206.21115148 -201888.573444691,3257470.80954394 -201888.573444691,3257470.80954394 -201623.975052234,3257206.21115148 -201623.975052234))","881","1"
"POLYGON ((3259852.19507605 -201623.975052234,3259852.19507605 -201888.573444691,3260116.79346851 -201888.573444691,3260116.79346851 -201623.975052234,3259852.19507605 -201623.975052234))","882","1"
"POLYGON ((3293456.19091809 -201623.975052234,3293456.19091809 -201888.573444691,3293720.78931055 -201888.573444691,3293720.78931055 -201623.975052234,3293456.19091809 -201623.975052234))","883","1"
"POLYGON ((3318857.63659396 -201623.975052234,3318857.63659396 -201888.573444691,3319122.23498642 -201888.573444691,3319122.23498642 -201623.975052234,3318857.63659396 -201623.975052234))","884","1"
"POLYGON ((3360664.18260217 -201623.975052234,3360664.18260217 -202153.171837148,3360928.78099462 -202153.171837148,3360928.78099462 -201623.975052234,3360664.18260217 -201623.975052234))","885","1"
"POLYGON ((3257735.40793639 -201623.975052234,3258264.60472131 -201623.975052234,3258264.60472131 -201888.573444691,3258000.00632885 -201888.573444691,3258000.00632885 -202153.171837148,3258264.60472131 -202153.171837148,3258264.60472131 -202417.770229605,3257735.40793639 -202417.770229605,3257735.40793639 -202153.171837148,3257470.80954394 -202153.171837148,3257470.80954394 -201888.573444691,3257735.40793639 -201888.573444691,3257735.40793639 -201623.975052234))","886","1"
"POLYGON ((3258264.60472131 -201888.573444691,3258264.60472131 -202153.171837148,3258529.20311376 -202153.171837148,3258529.20311376 -201888.573444691,3258264.60472131 -201888.573444691))","887","1"
"POLYGON ((3267260.95006485 -201888.573444691,3267260.95006485 -202153.171837148,3267525.5484573 -202153.171837148,3267525.5484573 -201888.573444691,3267260.95006485 -201888.573444691))","888","1"
"POLYGON ((3278109.48415558 -201888.573444691,3278109.48415558 -202153.171837148,3278374.08254804 -202153.171837148,3278374.08254804 -201888.573444691,3278109.48415558 -201888.573444691))","889","1"
"POLYGON ((3289487.21503123 -201888.573444691,3289487.21503123 -202153.171837148,3289751.81342369 -202153.171837148,3289751.81342369 -201888.573444691,3289487.21503123 -201888.573444691))","890","1"
"POLYGON ((3308009.10250322 -201888.573444691,3308009.10250322 -202153.171837148,3308802.8976806 -202153.171837148,3308802.8976806 -201888.573444691,3308009.10250322 -201888.573444691))","891","1"
