fid,radio_type,lon,lat
180,GSM,30.094083,-1.955449
181,GSM,30.086423,-1.950841
182,GSM,30.086174,-1.950531
183,GSM,30.082541,-1.948099
184,GSM,30.076278,-1.947479
185,GSM,30.078163,-1.94458
186,GSM,30.058734,-1.937493
187,UMTS,30.058299,-1.948602
188,GSM,30.060997,-1.966896
189,UMTS,30.06202698,-1.964492798
190,UMTS,30.057465,-1.969236
191,GSM,30.059124,-1.962126
192,GSM,30.058157,-1.936777
193,GSM,30.101166,-1.964968
194,GSM,30.103131,-1.967524
195,GSM,30.057533,-1.937901
196,GSM,30.093269,-1.966553
197,GSM,30.064774,-1.94252
198,GSM,30.058882,-1.941756
199,GSM,30.050042,-1.948138
200,GSM,30.05541,-1.948013
201,GSM,30.048717,-1.943893
202,GSM,30.056926,-1.949975
203,UMTS,30.057907,-1.949387
204,UMTS,30.057907,-1.952133
205,UMTS,30.060396,-1.952648
206,UMTS,30.057907,-1.955223
207,UMTS,30.0596,-1.958399
208,UMTS,30.058823,-1.958542
209,UMTS,30.062027,-1.95694
210,UMTS,30.05928,-1.948929
211,UMTS,30.062164,-1.944855
212,UMTS,30.070724,-1.939774
213,UMTS,30.062164,-1.945404
214,UMTS,30.068481,-1.946503
215,UMTS,30.068436,-1.947556
216,UMTS,30.080671,-1.944935
217,UMTS,30.076218,-1.942062
218,UMTS,30.073166,-1.952438
219,UMTS,30.077711,-1.961141
220,UMTS,30.075287,-1.956591
221,UMTS,30.077362,-1.96106
222,UMTS,30.07713318,-1.960372925
223,UMTS,30.079978,-1.9641
224,UMTS,30.07713318,-1.963119507
225,UMTS,30.084686,-1.965179
226,UMTS,30.084242,-1.968047
227,UMTS,30.097389,-1.968613
228,UMTS,30.09773254,-1.968612671
229,UMTS,30.10322571,-1.93977356
230,UMTS,30.12657166,-1.946640015
231,UMTS,30.12657166,-1.946640015
232,UMTS,30.12657166,-1.946640015
233,UMTS,30.12657166,-1.946640015
234,UMTS,30.20072937,-1.982345581
235,UMTS,29.97825623,-2.2240448
236,UMTS,30.09910583,-1.972732544
237,UMTS,30.191867,-1.984658
238,UMTS,30.0579071,-1.968612671
239,GSM,30.057449,-1.969986
240,UMTS,30.0579071,-1.968612671
241,GSM,30.067731,-1.936499
242,UMTS,30.14030457,-1.941146851
243,UMTS,29.634247,-1.501007
244,UMTS,29.78050232,-1.470108032
245,UMTS,30.120696,-1.941058
246,UMTS,30.06202698,-1.581344604
247,UMTS,30.12427,-1.958471
248,UMTS,30.052564,-1.97374
249,UMTS,30.08537292,-1.928787231
250,UMTS,30.058937,-1.94664
251,UMTS,30.168457,-1.977539
252,GSM,30.116608,-1.913272
253,UMTS,30.115983,-1.914476
254,GSM,30.115982,-1.912582
255,UMTS,30.115441,-1.913031
256,UMTS,30.114466,-1.916377
257,UMTS,30.120408,-1.913489
258,GSM,30.11919,-1.907845
259,UMTS,30.118136,-1.910738
260,UMTS,30.11055,-1.915283
261,UMTS,30.111776,-1.920043
262,GSM,29.58686829,-2.473983765
263,GSM,29.58686829,-2.473983765
264,GSM,30.088708,-1.944874
265,GSM,30.657359,-1.637639
266,GSM,30.662005,-1.801987
267,GSM,30.701351,-1.747627
268,GSM,30.731433,-1.869274
269,GSM,30.725395,-1.85099
270,GSM,30.712333,-1.893187
271,GSM,30.73719,-1.751251
272,GSM,30.709346,-1.621041
273,GSM,30.727576,-1.550548
274,GSM,30.740917,-1.736405
275,GSM,30.722379,-1.585386
276,GSM,30.651526,-1.48016
277,GSM,30.719429,-1.543539
278,GSM,30.66315,-1.492662
279,GSM,30.624802,-1.417854
280,GSM,30.62533,-1.439794
281,GSM,30.620187,-1.457803
282,GSM,30.590143,-1.424875
283,GSM,30.583028,-1.417888
284,GSM,30.561602,-1.4206
285,GSM,30.60585022,-1.420669556
286,GSM,30.597158,-1.94893
287,GSM,30.697517,-1.735153
288,GSM,30.72258,-1.742706
289,GSM,30.7157135,-1.762619019
290,GSM,30.73265,-1.716202
